,Unnamed: 0,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
62,221,2020-01-09 19:50:58,_Taaooma,mystic_ael,0,0,4,pic.twitter.com/g95aFJ6VAf,,,,1.21536033534088E+018,https://twitter.com/_Taaooma/status/1215360335340875787,picture,0,pic.twitter.com/g,Taaooma
63,225,2020-01-09 19:46:31,_Taaooma,,388,853,5285,When I star in an Action movie! . Fake paparazzi pic.twitter.com/yNEegNQAb5,,,,1.21535921253825E+018,https://twitter.com/_Taaooma/status/1215359212538253312,video,64400,pic.twitter.com/y,Taaooma
64,231,2020-01-08 12:20:13,_Taaooma,,97,176,2083,Bomboclat !!pic.twitter.com/yZaRgfGRrE,,,,1.21488451026701E+018,https://twitter.com/_Taaooma/status/1214884510267006976,picture,0,pic.twitter.com/y,Taaooma
65,232,2020-01-08 09:17:19,_Taaooma,,1171,7517,19085,All these must stop this 2020 pic.twitter.com/1kwSFF0ysm,,,,1.21483848136678E+018,https://twitter.com/_Taaooma/status/1214838481366781952,video,159500,pic.twitter.com/1,Taaooma
66,235,2020-01-07 18:15:47,_Taaooma,,159,455,5898,pic.twitter.com/16qPhu5NW7,,,,1.21461160548648E+018,https://twitter.com/_Taaooma/status/1214611605486477313,picture,0,pic.twitter.com/1,Taaooma
67,237,2020-01-07 15:56:31,_Taaooma,,339,2403,7633,1000 Ways To Die Old video.pic.twitter.com/RMh0WNmtpn,,,,1.21457655823877E+018,https://twitter.com/_Taaooma/status/1214576558238765057,video,71500,pic.twitter.com/R,Taaooma
68,242,2020-01-05 23:37:07,_Taaooma,,2,4,88,https://twitter.com/_olons/status/1213966402077499395 …pic.twitter.com/ckqUSAXURM,,,,1.21396769384771E+018,https://twitter.com/_Taaooma/status/1213967693847711744,picture,0,pic.twitter.com/c,Taaooma
69,243,2020-01-05 23:14:21,_Taaooma,HafeezShonde,1,0,26,Who is the bride ?pic.twitter.com/HSPaJnJuYD,,,,1.21396196634936E+018,https://twitter.com/_Taaooma/status/1213961966349361152,picture,0,pic.twitter.com/H,Taaooma
70,247,2020-01-05 21:56:15,_Taaooma,,5,3,86,https://twitter.com/Rneefah/status/1212081685392773120 …pic.twitter.com/kmzhtjHOs2,,,,1.21394231231059E+018,https://twitter.com/_Taaooma/status/1213942312310587392,picture,0,pic.twitter.com/k,Taaooma
71,250,2020-01-05 21:48:40,_Taaooma,,49,220,1651,You gotta look well to avoid gbas gbos on twitter this 2020.pic.twitter.com/gjsOoMGp9n,,,,1.21394040076492E+018,https://twitter.com/_Taaooma/status/1213940400764923913,picture,0,pic.twitter.com/g,Taaooma
72,251,2020-01-05 19:27:25,_Taaooma,AkinradeJoseph,1,0,13,I’m laughingpic.twitter.com/DOdAkRSys4,,,,1.21390485475576E+018,https://twitter.com/_Taaooma/status/1213904854755762176,picture,0,pic.twitter.com/D,Taaooma
73,252,2020-01-05 19:12:12,_Taaooma,MubarakSekoni,1,0,10,pic.twitter.com/9xlIXILmCT,,,,1.21390102741987E+018,https://twitter.com/_Taaooma/status/1213901027419869186,picture,0,pic.twitter.com/9,Taaooma
74,253,2020-01-05 19:07:03,_Taaooma,iamyelex,1,0,6,Where ?pic.twitter.com/ZKrCnKJPtX,,,,1.21389973097728E+018,https://twitter.com/_Taaooma/status/1213899730977280002,picture,0,pic.twitter.com/Z,Taaooma
